Puzzle Name,Search Method,Is Solved,Heuristic,Iteration Step,Nodes Generated,Nodes Repeated,Fringe Nodes,Explored Nodes,Duration,Path
misc/easy4.txt,bfs,Solved,None,None,1899,970,263,590,13.432981967926025,r|d|l|l|l|l|u|r|r|l|l|d|r|r|r|r|u|l|l|r|r|d|l|l|l|l|u|r|r|u|r|r|d|l|r|d|l|l|l|l|u|r|r|l|l|d|r|r|r|u|r|d|l|l|l|l|u|r|r|u|l|l|u|u|r|r|d|d|l|l|d|r|r|l|l|d|r|r|r|r|u|l|r|d|l|l|u|u|u|d|l|l|d|r|r|r|r|u|l|r|d|l|l|l|l|u|u|u|r|u|r|d|l|l|l|u|r|r|r|r|r|d|d|d|l|l|r|r|d|l|l|l|l|u|r|r|u|u|l|l|l|u|r|r|r|l|l|l|d|r|r|r|d|d|l|l|d|r|r|r|r|u|l|r|d|l|l|l|l|u|u|u|r|r|d|d|r|r|d|l|l|r|r|d|l|l|l|l|u|r|r|l|l|d|r|r|r|r|u|l|l|l|r|r|r|d|l|l|l|l|u|r|r|r|r|u|l|l|u|u|l|l|d|d|r|r|r|r|u|u|u|l|r|d|d|d|l|l|l|d|r|r|r|d|l|l|l|l|u|r|r|r|r|u|u|u|u|l|l|r|r|d|d|d|l|l|l|d|r|r|r|d|l|l|l|l|u|u|r|r|r|r|u|u|u|l|l|l|r|r|r|d|d|d|l|l|u|u|l|l|l|u|r|r|r|l|l|l|d|r|r|r|d|d|r|r|d|l|l|l|l|u|u|d|r|r|r|r|u|u|u|l|r|d|d|d|l|l|l|l|u|u|r|u|r|l|d|r|d|d|r|r|d|l|l|l|l|u|u|u|l|u|r|
misc/easy4.txt,IDA*,Solved,Manhattan,Fixed (1),3280,0,802,6220,35.0702919960022,l|u|u|u|l|u|r|d|d|d|d|l|d|l|u|u|u|u|l|u|r|
misc/easy4.txt,IDA*,Solved,Manhattan,Fixed (4),1519,0,323,1585,7.686635971069336,l|u|u|u|l|l|u|r|r|d|d|d|d|l|d|l|u|u|u|u|l|u|r|
misc/easy4.txt,IDA*,Solved,Manhattan,Dynamic,3963,0,504,5543,36.84234690666199,l|u|u|u|l|l|l|u|r|r|r|d|d|d|d|l|r|r|d|l|l|l|u|u|u|u|l|u|r|
misc/easy4.txt,IDA*,Solved,Manhattan,Fixed (4),1636,0,623,2856,14.533951997756958,l|u|u|u|l|u|r|d|d|d|d|l|d|l|u|u|u|u|d|u|l|u|r|
misc/easy4.txt,IDA*,Solved,Manhattan,Dynamic,2827,0,442,3788,21.36782193183899,l|u|u|u|l|l|l|u|r|r|r|d|d|d|d|l|d|l|u|u|u|u|l|u|r|
misc/minicosmos1.txt,bfs,Solved,None,None,239,110,25,100,0.5126039981842041,r|r|u|r|r|u|u|l|l|l|d|l|l|u|u|r|l|d|d|r|r|r|d|r|r|u|u|l|u|u|l|l|d|d|r|r|r|d|d|l|l|d|l|l|u|u|r|l|l|u|u|r|r|d|r|r|r|d|d|l|l|u|l|l|l|u|u|r|r|d|r|
misc/minicosmos1.txt,IDA*,Solved,Manhattan,Fixed (1),87,0,52,1012,4.093240022659302,u|u|l|u|u|r|l|d|d|r|r|u|r|r|u|u|l|l|d|d|u|l|l|d|d|r|r|l|d|d|r|r|u|u|l|u|r|
misc/minicosmos1.txt,IDA*,Solved,Manhattan,Fixed (4),119,0,29,520,2.1825239658355713,r|r|u|u|l|l|l|u|u|r|l|d|d|r|r|r|u|r|u|u|l|l|d|d|u|u|d|l|l|d|d|r|r|l|d|d|r|r|u|u|d|u|l|u|r|
misc/minicosmos1.txt,IDA*,Solved,Manhattan,Dynamic,100,0,34,502,2.081195116043091,r|r|u|u|l|l|l|u|u|r|l|d|d|r|r|r|u|r|u|u|l|l|d|d|u|l|l|d|d|r|r|l|d|d|r|r|u|u|l|u|r|
