Puzzle Name,Search Method,Is Solved,Heuristic,Iteration Step,Nodes Generated,Nodes Repeated,Fringe Nodes,Explored Nodes,Duration,Path
sokwhole/sokwhole_01.txt,bfs,Solved,None,None,2,0,0,1,0.000952959,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Fixed (1),2,0,0,1,0.000457048,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Fixed (4),2,0,0,1,0.000467062,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Dynamic,2,0,0,1,0.000632048,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Euclidean,Fixed (1),2,0,0,1,0.001112938,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Euclidean,Fixed (4),2,0,0,1,0.000423908,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Euclidean,Dynamic,2,0,0,1,0.00101018,d|
sokwhole/sokwhole_02.txt,bfs,Solved,None,None,2,0,0,1,0.002181768,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Fixed (1),2,0,0,1,0.00308609,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Fixed (4),2,0,0,1,0.000638008,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Dynamic,2,0,0,1,0.001013041,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Euclidean,Fixed (1),2,0,0,1,0.000740767,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Euclidean,Fixed (4),2,0,0,1,0.000644207,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Euclidean,Dynamic,2,0,0,1,0.00065589,l|
sokwhole/sokwhole_03.txt,bfs,Solved,None,None,16,6,1,8,0.025801897,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Fixed (1),9,0,2,27,0.066931963,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Fixed (4),9,0,2,15,0.0304811,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Dynamic,9,0,2,15,0.048698902,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Euclidean,Fixed (1),9,0,2,25,0.042277098,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Euclidean,Fixed (4),9,0,2,14,0.033109903,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Euclidean,Dynamic,9,0,2,22,0.032714128,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_04.txt,bfs,Solved,None,None,48,22,0,25,0.067570925,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_04.txt,IDA*,Solved,Manhattan,Fixed (1),26,0,1,131,0.282224894,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_04.txt,IDA*,Solved,Manhattan,Fixed (4),26,0,1,51,0.140769005,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_04.txt,IDA*,Solved,Manhattan,Dynamic,26,0,1,77,0.177318096,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_04.txt,IDA*,Solved,Euclidean,Fixed (1),26,0,1,146,0.324380875,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_04.txt,IDA*,Solved,Euclidean,Fixed (4),26,0,1,72,0.224977255,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_04.txt,IDA*,Solved,Euclidean,Dynamic,26,0,1,96,0.236710787,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
sokwhole/sokwhole_05.txt,bfs,Solved,None,None,50,22,1,26,0.082080126,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_05.txt,IDA*,Solved,Manhattan,Fixed (1),29,0,2,319,0.938094854,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_05.txt,IDA*,Solved,Manhattan,Fixed (4),29,0,2,122,0.526166201,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_05.txt,IDA*,Solved,Manhattan,Dynamic,29,0,2,288,1.010396957,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_05.txt,IDA*,Solved,Euclidean,Fixed (1),28,0,2,396,1.333917856,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_05.txt,IDA*,Solved,Euclidean,Fixed (4),28,0,2,119,0.664761066,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_05.txt,IDA*,Solved,Euclidean,Dynamic,28,0,2,381,1.735145092,r|d|r|r|r|r|u|r|u|u|l|l|d|l|r|u|r|r|d|d|l|d|l|l|u|
sokwhole/sokwhole_06.txt,bfs,Solved,None,None,205,102,7,90,0.604514122,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|l|u|r|r|r|r|r|r|d|d|l|d|l|l|l|l|u|d|r|r|u|
sokwhole/sokwhole_06.txt,IDA*,Solved,Manhattan,Fixed (1),100,0,5,728,3.731619835,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|u|r|r|r|r|r|d|d|l|d|l|l|u|d|l|l|u|
sokwhole/sokwhole_06.txt,IDA*,Solved,Manhattan,Fixed (4),64,0,11,379,2.088785172,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|l|u|r|r|r|r|r|r|d|d|l|d|l|l|l|l|u|d|r|r|u|
sokwhole/sokwhole_06.txt,IDA*,Solved,Manhattan,Dynamic,106,0,5,737,3.431389093,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|u|r|r|r|r|r|d|d|l|d|l|l|u|d|l|l|u|
sokwhole/sokwhole_06.txt,IDA*,Solved,Euclidean,Fixed (1),102,0,17,1092,5.025209904,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|u|r|r|r|r|r|d|d|l|d|l|l|u|d|l|l|u|
sokwhole/sokwhole_06.txt,IDA*,Solved,Euclidean,Fixed (4),63,0,12,439,1.617784023,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|l|u|r|r|r|r|r|r|d|d|l|d|l|l|l|l|u|d|r|r|u|
sokwhole/sokwhole_06.txt,IDA*,Solved,Euclidean,Dynamic,102,0,15,1074,4.507071972,r|r|r|u|r|u|u|l|l|l|l|l|l|d|r|u|r|r|r|r|r|d|d|l|d|l|l|u|d|l|l|u|
sokwhole/sokwhole_07.txt,bfs,Solved,None,None,68,33,4,26,0.104137897,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_07.txt,IDA*,Solved,Manhattan,Fixed (1),25,0,23,206,0.681996822,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_07.txt,IDA*,Solved,Manhattan,Fixed (4),28,0,19,77,0.287009001,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_07.txt,IDA*,Solved,Manhattan,Dynamic,25,0,23,199,0.625880003,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_07.txt,IDA*,Solved,Euclidean,Fixed (1),26,0,19,335,0.917428017,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_07.txt,IDA*,Solved,Euclidean,Fixed (4),25,0,19,75,0.206779003,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_07.txt,IDA*,Solved,Euclidean,Dynamic,26,0,19,328,1.088218927,l|r|u|l|u|l|l|d|r|l|d|d|r|u|
sokwhole/sokwhole_08.txt,bfs,Solved,None,None,218,117,3,84,0.340064049,r|r|l|u|u|r|r|r|d|u|l|l|d|
sokwhole/sokwhole_08.txt,IDA*,Solved,Manhattan,Fixed (1),102,0,6,165,0.507724047,r|r|l|u|u|r|d|u|r|r|d|
sokwhole/sokwhole_08.txt,IDA*,Solved,Manhattan,Fixed (4),74,0,22,136,0.39712882,r|r|l|u|u|r|r|r|d|u|l|l|d|
sokwhole/sokwhole_08.txt,IDA*,Solved,Manhattan,Dynamic,59,0,22,134,0.476046801,r|r|l|u|u|r|r|r|d|u|l|l|d|
sokwhole/sokwhole_08.txt,IDA*,Solved,Euclidean,Fixed (1),41,0,21,124,0.302876949,r|r|l|u|u|r|d|u|r|r|d|
sokwhole/sokwhole_08.txt,IDA*,Solved,Euclidean,Fixed (4),35,0,7,39,0.137964964,r|r|l|u|u|r|d|u|r|r|d|
sokwhole/sokwhole_08.txt,IDA*,Solved,Euclidean,Dynamic,56,0,22,131,0.338393927,r|r|l|u|u|r|r|r|d|u|l|l|d|
sokwhole/sokwhole_09.txt,bfs,Solved,None,None,171,86,6,71,0.370865822,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_09.txt,IDA*,Solved,Manhattan,Fixed (1),72,0,84,1214,11.33500314,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_09.txt,IDA*,Solved,Manhattan,Fixed (4),79,0,45,545,3.427374125,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_09.txt,IDA*,Solved,Manhattan,Dynamic,63,0,59,735,2.768172026,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_09.txt,IDA*,Solved,Euclidean,Fixed (1),63,0,124,1704,5.89026618,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_09.txt,IDA*,Solved,Euclidean,Fixed (4),73,0,43,487,1.698317051,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_09.txt,IDA*,Solved,Euclidean,Dynamic,63,0,103,1019,3.349983931,r|d|r|r|u|r|r|u|u|l|r|u|l|r|d|d|d|l|l|d|l|l|u|r|
sokwhole/sokwhole_10.txt,bfs,Solved,None,None,84,37,6,39,0.136779785,r|d|r|d|r|d|l|r|u|l|u|l|u|l|l|l|d|d|d|r|d|r|d|r|r|u|
sokwhole/sokwhole_10.txt,IDA*,Solved,Manhattan,Fixed (1),339,0,49,1590,6.292109013,r|d|r|d|r|d|l|u|u|l|u|l|l|l|d|d|d|r|d|r|d|r|r|u|
sokwhole/sokwhole_10.txt,IDA*,Solved,Manhattan,Fixed (4),36,0,33,731,2.715107918,r|d|r|d|r|d|l|r|u|l|u|l|u|l|l|l|d|d|d|r|d|r|d|r|r|u|
