Puzzle Name,Search Method,Is Solved,Heuristic,Iteration Step,Nodes Generated,Nodes Repeated,Fringe Nodes,Explored Nodes,Duration,Path
sokwhole/sokwhole_01.txt,bfs,Solved,None,None,2,0,0,1,0.0009529590606689453,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Fixed (1),2,0,0,1,0.0004570484161376953,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Fixed (4),2,0,0,1,0.00046706199645996094,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Dynamic,2,0,0,1,0.0006320476531982422,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Fixed (1),2,0,0,1,0.0011129379272460938,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Fixed (4),2,0,0,1,0.0004239082336425781,d|
sokwhole/sokwhole_01.txt,IDA*,Solved,Manhattan,Dynamic,2,0,0,1,0.0010101795196533203,d|
sokwhole/sokwhole_02.txt,bfs,Solved,None,None,2,0,0,1,0.0021817684173583984,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Fixed (1),2,0,0,1,0.003086090087890625,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Fixed (4),2,0,0,1,0.0006380081176757812,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Dynamic,2,0,0,1,0.001013040542602539,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Fixed (1),2,0,0,1,0.0007407665252685547,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Fixed (4),2,0,0,1,0.0006442070007324219,l|
sokwhole/sokwhole_02.txt,IDA*,Solved,Manhattan,Dynamic,2,0,0,1,0.0006558895111083984,l|
sokwhole/sokwhole_03.txt,bfs,Solved,None,None,16,6,1,8,0.025801897048950195,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Fixed (1),9,0,2,27,0.06693196296691895,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Fixed (4),9,0,2,15,0.03048110008239746,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Dynamic,9,0,2,15,0.04869890213012695,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Fixed (1),9,0,2,25,0.04227709770202637,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Fixed (4),9,0,2,14,0.03310990333557129,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_03.txt,IDA*,Solved,Manhattan,Dynamic,9,0,2,22,0.032714128494262695,l|l|u|d|r|r|u|l|
sokwhole/sokwhole_04.txt,bfs,Solved,None,None,48,22,0,25,0.06757092475891113,u|l|l|d|l|r|u|r|r|d|r|d|d|l|l|l|l|u|
